"","V1","country","designation","points","price","province","region_1","region_2","taster_name","title","variety","winery"
"14",15,"Germany","Devon",87,"Super Premium","Mosel","Mosel","Mosel","Anna Lee C. Iijima","Richard Böcking 2013 Devon Riesling (Mosel)","Riesling","Richard Böcking"
"15",16,"Argentina","Felix",87,"Ultra Premium","Other","Cafayate","Cafayate","Michael Schachner","Felix Lavaque 2010 Felix Malbec (Cafayate)","Malbec","Felix Lavaque"
"16",17,"Argentina","Winemaker Selection",87,"Value Premium","Mendoza Province","Mendoza","Mendoza","Michael Schachner","Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza)","Malbec","Gaucho Andino"
"17",18,"Spain","Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza",87,"Super Premium","Northern Spain","Ribera del Duero","Ribera del Duero","Michael Schachner","Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero)","Tempranillo Blend","Pradorey"
"18",19,"US","No Wine Designation",87,"Ultra Premium","Virginia","Virginia","Virginia","Alexander Peartree","Quiévremont 2012 Meritage (Virginia)","Meritage","Quiévremont"
"19",20,"US","Vin de Maison",87,"Super Premium","Virginia","Virginia","Virginia","Alexander Peartree","Quiévremont 2012 Vin de Maison Red (Virginia)","Red Blend","Quiévremont"
"20",21,"US","No Wine Designation",87,"Super Premium","Oregon","Oregon","Oregon Other","Paul Gregutt","Acrobat 2013 Pinot Noir (Oregon)","Pinot Noir","Acrobat"
"21",22,"Italy","Ficiligno",87,"Premium","Sicily & Sardinia","Sicilia","Sicilia","Kerin O’Keefe","Baglio di Pianetto 2007 Ficiligno White (Sicilia)","White Blend","Baglio di Pianetto"
"22",23,"US","Signature Selection",87,"Super Premium","California","Paso Robles","Central Coast","Matt Kettmann","Bianchi 2011 Signature Selection Merlot (Paso Robles)","Merlot","Bianchi"
"23",24,"Italy","Aynat",87,"Ultra Premium","Sicily & Sardinia","Sicilia","Sicilia","Kerin O’Keefe","Canicattì 2009 Aynat Nero d'Avola (Sicilia)","Nero d'Avola","Canicattì"
"24",25,"US","King Ridge Vineyard",87,"Luxury","California","Sonoma Coast","Sonoma","Virginie Boone","Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast)","Pinot Noir","Castello di Amorosa"
"25",26,"Italy","Dalila",87,"Value Premium","Sicily & Sardinia","Terre Siciliane","Terre Siciliane","Kerin O’Keefe","Stemmari 2013 Dalila White (Terre Siciliane)","White Blend","Stemmari"
"26",27,"Italy","No Wine Designation",87,"Value Premium","Sicily & Sardinia","Terre Siciliane","Terre Siciliane","Kerin O’Keefe","Stemmari 2013 Nero d'Avola (Terre Siciliane)","Nero d'Avola","Stemmari"
"27",28,"Italy","Mascaria Barricato",87,"Premium","Sicily & Sardinia","Cerasuolo di Vittoria","Cerasuolo di Vittoria","Kerin O’Keefe","Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria)","Red Blend","Terre di Giurfo"
"28",29,"US","No Wine Designation",86,"Premium","California","Clarksburg","Central Valley","Virginie Boone","Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg)","Chenin Blanc","Clarksburg Wine Company"
"29",33,"US","Puma Springs Vineyard",86,"Luxury","California","Dry Creek Valley","Sonoma","Anonymous","Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley)","Red Blend","Envolve"
"30",34,"US","No Wine Designation",86,"Super Premium","California","Sonoma Valley","Sonoma","Anonymous","Envolve 2011 Sauvignon Blanc (Sonoma Valley)","Sauvignon Blanc","Envolve"
"31",35,"US","Hyland",86,"Luxury","Oregon","McMinnville","Willamette Valley","Paul Gregutt","Erath 2010 Hyland Pinot Noir (McMinnville)","Pinot Noir","Erath"
"32",36,"Chile","Estate",86,"Premium","Colchagua Valley","Colchagua Valley","Colchagua Valley","Michael Schachner","Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley)","Viognier-Chardonnay","Estampa"
"33",37,"Italy","Missoni",86,"Super Premium","Sicily & Sardinia","Sicilia","Sicilia","Anonymous","Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia)","Cabernet Sauvignon","Feudi del Pisciotto"
"34",38,"Italy","I Tratturi",86,"Value Premium","Southern Italy","Puglia","Puglia","Anonymous","Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia)","Primitivo","Feudi di San Marzano"
"35",39,"Italy","Purato Made With Organic Grapes",86,"Value Premium","Sicily & Sardinia","Sicilia","Sicilia","Anonymous","Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia)","Nero d'Avola","Feudo di Santa Tresa"
"36",40,"Italy","No Wine Designation",86,"Premium","Sicily & Sardinia","Sicilia","Sicilia","Anonymous","Feudo Montoni 2011 Catarratto (Sicilia)","Catarratto","Feudo Montoni"
"37",41,"US","No Wine Designation",86,"Super Premium","Oregon","Willamette Valley","Willamette Valley","Paul Gregutt","Hawkins Cellars 2009 Pinot Noir (Willamette Valley)","Pinot Noir","Hawkins Cellars"
"38",42,"France","Nouveau",86,"Value","Beaujolais","Beaujolais","Beaujolais","Roger Voss","Henry Fessy 2012 Nouveau  (Beaujolais)","Gamay","Henry Fessy"
"39",43,"US","No Wine Designation",86,"Value Premium","California","Paso Robles","Central Coast","Anonymous","Robert Hall 2011 Sauvignon Blanc (Paso Robles)","Sauvignon Blanc","Robert Hall"
"40",44,"Chile","No Wine Designation",86,"Value","Maule Valley","Maule Valley","Maule Valley","Michael Schachner","Sundance 2011 Merlot (Maule Valley)","Merlot","Sundance"
"41",45,"US","#SocialSecret",86,"Ultra Premium","Virginia","Virginia","Virginia","Anonymous","Tarara 2010 #SocialSecret Red (Virginia)","Red Blend","Tarara"
"42",46,"Italy","Sallier de la Tour",86,"Value Premium","Sicily & Sardinia","Sicilia","Sicilia","Anonymous","Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia)","Inzolia","Tasca d'Almerita"
"43",47,"US","No Wine Designation",86,"Value Premium","California","Lake County","Lake County","Anonymous","The White Knight 2011 Riesling (Lake County)","Riesling","The White Knight"
"44",48,"US","No Wine Designation",86,"Premium","Virginia","Monticello","Monticello","Anonymous","Trump 2011 Sauvignon Blanc (Monticello)","Sauvignon Blanc","Trump"
"45",49,"France","Eté Indien",86,"Value Premium","Beaujolais","Brouilly","Brouilly","Roger Voss","Vignerons de Bel Air 2011 Eté Indien  (Brouilly)","Gamay","Vignerons de Bel Air"
"46",51,"Chile","Gran Reserva",85,"Super Premium","Colchagua Valley","Colchagua Valley","Colchagua Valley","Michael Schachner","Casa Silva 2008 Gran Reserva Petit Verdot (Colchagua Valley)","Petit Verdot","Casa Silva"
"47",52,"Italy","Dolia",85,"Value Premium","Sicily & Sardinia","Monica di Sardegna","Monica di Sardegna","Anonymous","Cantine di Dolianova 2010 Dolia  (Monica di Sardegna)","Monica","Cantine di Dolianova"
"48",53,"France","La Fleur d'Amélie",85,"Premium","Bordeaux","Bordeaux Blanc","Bordeaux Blanc","Roger Voss","Château de Sours 2011 La Fleur d'Amélie  (Bordeaux Blanc)","Bordeaux-style White Blend","Château de Sours"
"49",55,"US","Estate Bottled",85,"Ultra Premium","California","Napa Valley","Napa","Anonymous","RustRidge 2010 Estate Bottled Chardonnay (Napa Valley)","Chardonnay","RustRidge"
"50",56,"US","No Wine Designation",85,"Value Premium","California","North Coast","North Coast","Virginie Boone","Souverain 2010 Chardonnay (North Coast)","Chardonnay","Souverain"
"51",57,"Italy","Sallier de la Tour",85,"Value Premium","Sicily & Sardinia","Sicilia","Sicilia","Anonymous","Tasca d'Almerita 2011 Sallier de la Tour Grillo (Sicilia)","Grillo","Tasca d'Almerita"
"52",58,"Chile","Reserve",85,"Value Premium","Maipo Valley","Maipo Valley","Maipo Valley","Michael Schachner","Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley)","Pinot Noir","Tres Palacios"
"53",59,"US","No Wine Designation",86,"Luxury","Washington","Columbia Valley (WA)","Columbia Valley","Sean P. Sullivan","Mellisoni 2014 Malbec (Columbia Valley (WA))","Malbec","Mellisoni"
"54",60,"US","Estate",86,"Super Luxery","California","Napa Valley","Napa","Virginie Boone","Okapi 2013 Estate Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","Okapi"
"55",61,"Italy","Prugneto",86,"Premium","Central Italy","Romagna","Romagna","Kerin O’Keefe","Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna)","Sangiovese","Podere dal Nespoli"
"56",62,"US","Alder Ridge Vineyard",86,"Super Premium","Washington","Columbia Valley (WA)","Columbia Valley","Sean P. Sullivan","Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA))","Cabernet Franc","Ram"
"57",63,"France","Brut Rosé",86,"Luxury","Champagne","Champagne","Champagne","Roger Voss","Roland Champion NV Brut Rosé  (Champagne)","Champagne Blend","Roland Champion"
"58",64,"US","Golden Horn",86,"Super Premium","California","Santa Ynez Valley","Central Coast","Matt Kettmann","Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley)","Sauvignon Blanc","Sevtap"
"59",65,"France","No Wine Designation",86,"Super Premium","Burgundy","Chablis","Chablis","Roger Voss","Simonnet-Febvre 2015  Chablis","Chardonnay","Simonnet-Febvre"
"60",66,"France","No Wine Designation",86,"Premium","Burgundy","Mâcon-Milly Lamartine","Mâcon-Milly Lamartine","Roger Voss","Vignerons des Terres Secrètes 2015  Mâcon-Milly Lamartine","Chardonnay","Vignerons des Terres Secrètes"
"61",67,"US","Inspired",86,"Ultra Premium","Washington","Columbia Valley (WA)","Columbia Valley","Sean P. Sullivan","Basel Cellars 2013 Inspired Red (Columbia Valley (WA))","Bordeaux-style Red Blend","Basel Cellars"
"62",68,"US","No Wine Designation",86,"Value Premium","California","California","California Other","Jim Gordon","Cocobon 2014 Red (California)","Red Blend","Cocobon"
"63",69,"France","Brut Rosé",86,"Luxury","Champagne","Champagne","Champagne","Roger Voss","Collet NV Brut Rosé  (Champagne)","Champagne Blend","Collet"
"64",70,"US","No Wine Designation",86,"Value Premium","Washington","Columbia Valley (WA)","Columbia Valley","Sean P. Sullivan","Drumheller 2014 Chardonnay (Columbia Valley (WA))","Chardonnay","Drumheller"
"65",71,"US","Old Vine",86,"Ultra Premium","California","Alexander Valley","Sonoma","Virginie Boone","Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley)","Cabernet Sauvignon","Eco Terreno"
"66",72,"Italy","Daginestra",86,"Ultra Premium","Southern Italy","Aglianico del Vulture","Aglianico del Vulture","Kerin O’Keefe","Grifalco 2013 Daginestra  (Aglianico del Vulture)","Aglianico","Grifalco"
"67",73,"US","Bella Vetta Vineyard",86,"Luxury","California","Howell Mountain","Napa","Virginie Boone","Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain)","Cabernet Sauvignon","Hindsight"
"68",74,"US","Estate Grown",86,"Luxury","California","Calistoga","Napa","Virginie Boone","Hindsight 2012 Estate Grown Petite Sirah (Calistoga)","Petite Sirah","Hindsight"
"69",75,"US","The Cypher",86,"Luxury","California","Napa Valley","Napa","Virginie Boone","Mulvane Wine Co. 2013 The Cypher Red (Napa Valley)","Bordeaux-style Red Blend","Mulvane Wine Co."
"70",76,"Germany","No Wine Designation",86,"Value","Rheinhessen","Rheinhessen","Rheinhessen","Anna Lee C. Iijima","Schmitt Söhne 2015 Riesling (Rheinhessen)","Riesling","Schmitt Söhne"
"71",77,"Australia","Made With Organic Grapes",86,"Premium","South Australia","South Australia","South Australia","Joe Czerwinski","Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia)","Chardonnay","Yalumba"
"72",78,"US","Rosé of",86,"Super Premium","Oregon","Eola-Amity Hills","Willamette Valley","Paul Gregutt","Z'IVO 2015 Rosé of Pinot Noir (Eola-Amity Hills)","Pinot Noir","Z'IVO"
"73",80,"Chile","Special Release Reserva",86,"Value Premium","Rapel Valley","Rapel Valley","Rapel Valley","Michael Schachner","Aresti 2014 Special Release Reserva Carmenère (Rapel Valley)","Carmenère","Aresti"
"74",81,"Spain","No Wine Designation",86,"Premium","Galicia","Rías Baixas","Rías Baixas","Michael Schachner","Spyro 2014 Albariño (Rías Baixas)","Albariño","Spyro"
"75",82,"France","La Réserve",86,"Value Premium","France Other","Vin de France","Vin de France","Roger Voss","Lionel Osmin & Cie 2016 La Réserve Petit Manseng (Vin de France)","Petit Manseng","Lionel Osmin & Cie"
"76",83,"Australia","Jester Sangiovese",86,"Super Premium","South Australia","McLaren Vale","McLaren Vale","Joe Czerwinski","Mitolo 2016 Jester Sangiovese Rosé (McLaren Vale)","Rosé","Mitolo"
"77",84,"US","Classic",86,"Super Premium","California","Napa Valley","Napa","Virginie Boone","Napa Cellars 2014 Classic Zinfandel (Napa Valley)","Zinfandel","Napa Cellars"
"78",85,"Germany","Undone Dry",86,"Value Premium","Rheinhessen","Rheinhessen","Rheinhessen","Anna Lee C. Iijima","P.J. Valckenberg 2015 Undone Dry Riesling (Rheinhessen)","Riesling","P.J. Valckenberg"
"79",86,"US","No Wine Designation",86,"Super Premium","Washington","Ancient Lakes","Columbia Valley","Sean P. Sullivan","Palencia 2016 Albariño (Ancient Lakes)","Albariño","Palencia"
"80",87,"US","Blau Vineyards",86,"Luxury","California","Knights Valley","Sonoma","Virginie Boone","Passaggio 2014 Blau Vineyards Merlot (Knights Valley)","Merlot","Passaggio"
"81",88,"Italy","Le Mandorle Riserva",86,"Super Premium","Tuscany","Vernaccia di San Gimignano","Vernaccia di San Gimignano","Kerin O’Keefe","Poggio Alloro 2014 Le Mandorle Riserva  (Vernaccia di San Gimignano)","Vernaccia","Poggio Alloro"
"82",89,"Italy","No Wine Designation",88,"Premium","Tuscany","Toscana","Toscana","Kerin O’Keefe","Fattoria Sardi 2015 Rosato (Toscana)","Rosato","Fattoria Sardi"
"83",90,"US","Siena",88,"Super Premium","California","Sonoma County","Sonoma","Virginie Boone","Ferrari-Carano 2014 Siena Red (Sonoma County)","Red Blend","Ferrari-Carano"
"84",91,"US","No Wine Designation",88,"Premium","California","Sonoma Coast","Sonoma","Virginie Boone","Folie à Deux 2015 Pinot Gris (Sonoma Coast)","Pinot Gris","Folie à Deux"
"85",92,"US","Magnificat",88,"Luxury","California","Napa Valley","Napa","Virginie Boone","Franciscan 2013 Magnificat Meritage (Napa Valley)","Meritage","Franciscan"
"86",93,"Austria","No Wine Designation",88,"Value Premium","Burgenland","Burgenland","Burgenland","Anne Krebiehl MW","Fuchs 2015 Grüner Veltliner (Burgenland)","Grüner Veltliner","Fuchs"
"87",94,"US","Grand Klasse Reserve Lawrence Vineyards",88,"Super Premium","Washington","Columbia Valley (WA)","Columbia Valley","Sean P. Sullivan","Gård 2014 Grand Klasse Reserve Lawrence Vineyards Viognier (Columbia Valley (WA))","Viognier","Gård"
"88",95,"France","No Wine Designation",88,"Super Premium","Beaujolais","Juliénas","Juliénas","Roger Voss","Henry Fessy 2015  Juliénas","Gamay","Henry Fessy"
"89",96,"France","No Wine Designation",88,"Premium","Beaujolais","Régnié","Régnié","Roger Voss","Henry Fessy 2015  Régnié","Gamay","Henry Fessy"
"90",97,"US","Ingle Vineyard",88,"Super Premium","New York","Finger Lakes","Finger Lakes","Anna Lee C. Iijima","Heron Hill 2015 Ingle Vineyard Riesling (Finger Lakes)","Riesling","Heron Hill"
"91",98,"Italy","Dono Riserva",88,"Ultra Premium","Tuscany","Morellino di Scansano","Morellino di Scansano","Kerin O’Keefe","Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano)","Sangiovese","Serpaia di Endrizzi"
"92",99,"US","Intreccio Library Selection",88,"Luxury","California","Napa Valley","Napa","Virginie Boone","Soquel Vineyards 2013 Intreccio Library Selection Red (Napa Valley)","Bordeaux-style Red Blend","Soquel Vineyards"
"93",100,"US","No Wine Designation",88,"Premium","New York","Finger Lakes","Finger Lakes","Anna Lee C. Iijima","Ventosa 2015 Pinot Gris (Finger Lakes)","Pinot Gris","Ventosa"
"94",101,"US","Red Oak Vineyard",87,"Super Premium","New York","Finger Lakes","Finger Lakes","Anna Lee C. Iijima","Lamoreaux Landing 2014 Red Oak Vineyard Riesling (Finger Lakes)","Riesling","Lamoreaux Landing"
"95",102,"US","Yellow Dog Vineyard",87,"Super Premium","New York","Finger Lakes","Finger Lakes","Anna Lee C. Iijima","Lamoreaux Landing 2014 Yellow Dog Vineyard Riesling (Finger Lakes)","Riesling","Lamoreaux Landing"
"96",103,"Chile","Single Vineyard Falaris Hill",87,"Premium","Leyda Valley","Leyda Valley","Leyda Valley","Michael Schachner","Leyda 2015 Single Vineyard Falaris Hill Chardonnay (Leyda Valley)","Chardonnay","Leyda"
"97",104,"Italy","Nativo",87,"Premium","Tuscany","Toscana","Toscana","Kerin O’Keefe","Madonna Alta 2014 Nativo Red (Toscana)","Red Blend","Madonna Alta"
"98",105,"Italy","Villa Antinori",87,"Value Premium","Tuscany","Toscana","Toscana","Kerin O’Keefe","Marchesi Antinori 2015 Villa Antinori White (Toscana)","White Blend","Marchesi Antinori"
"99",106,"Italy","Castiglioni",87,"Ultra Premium","Tuscany","Toscana","Toscana","Kerin O’Keefe","Marchesi de' Frescobaldi 2014 Castiglioni Red (Toscana)","Red Blend","Marchesi de' Frescobaldi"
"100",107,"Italy","Ammiraglia Massovivo",87,"Premium","Tuscany","Toscana","Toscana","Kerin O’Keefe","Marchesi de' Frescobaldi 2015 Ammiraglia Massovivo Vermentino (Toscana)","Vermentino","Marchesi de' Frescobaldi"
